index,complication
77,"Unzureichende Dokumentation der Instrumentenzählung"
78,"Versehentliches Zerschneiden benachbarter Gewebe"
79,"Unangemessene Temperatur im OP-Saal"
80,"Mangelhafte Handhygiene im OP-Personal"
81,"Probleme bei der Mobilisation des Patienten nach der OP"
82,"Unzureichende Überwachung der Narkosewirkung"
83,"Unvorhergesehene Medikamenteninteraktion"
84,"Verzögerung durch organisatorische Probleme"
85,"Unzureichende Anzahl von Personal im Notfall"
86,"Nichtfunktionieren der Sauerstoffversorgung"
87,"Versehentliches Auslösen eines Feueralarms"
88,"Unzureichende Einhaltung von Sicherheitsstandards"
89,"Verzögerte Reaktion auf Notfallprotokolle"
90,"Falsche Positionierung des Operationsdesinfektionsmitteleinteilers"
91,"Unwissenheit über spezialisierte Kathetertechniken"
92,"Mangelnde postoperative Schmerzbehandlung"
93,"Versehentliche Beschädigung des Portkatheters"
94,"Unachtsamkeit bei der Wundverschlusskontrolle"
95,"Unzureichende Anweisungen für postoperative Pflegekräfte"
96,"Fehlende Koordination bei der Übergabe an den Erholungsraum"
97,"Viren oder Bakterien im Operationsraum"
98,"Gebrochene Nadeln im Operationsfeld"
99,"Überlastung der Luftfiltersysteme"
100,"Nichtbeachtung von Allergien des Patienten"
101,"Fehlerhafte Kalibrierung des Röntgengeräts"
102,"Vergessen der Sterilisation von Instrumenten"
103,"Unklare Kommunikation zwischen OP-Teammitgliedern"
104,"Patient bewegt sich während der Katheterplatzierung"
105,"Verwechslung von Kathetertypen oder -größen"
106,"Fehler bei der Medikamentendosierung"
107,"Unzureichende Dokumentation während des Eingriffs"
108,"Störung der Monitoranzeigen oder Vitalwerte"
109,"Mangelnde Vorbereitung von Notfallmedikamenten"
110,"Unzureichende Beleuchtung im Operationsfeld"
111,"Fehlerhafte Einstellung des Patientenlagers"
112,"Verspätetes Erkennen von Blutungen"
113,"Nichtbeachtung von Kontraindikationen bei Materialien"
114,"Versehentliche Kontamination von Handschuhen"
115,"Unterbrechungen durch Telefonate oder externe Anfragen"
116,"Fehlerhafte Interpretation von Röntgenbildern"
117,"Fehlende Überwachung von Infusionssystemen"
118,"Unsachgemäße Handhabung von Röntgenstrahlung"
119,"Übersehen von bestehenden Thromboserisiken"
120,"Verwechslung von Patientenakten"
121,"Mangelnde Schulung im Umgang mit Notfallgeräten"
122,"Unzureichende Absaugung von Flüssigkeiten"
123,"Fehlerhafte Kennzeichnung von Kathetern"
124,"Versäumnis, sterile Abdeckung korrekt anzubringen"
125,"Störungen durch defekte OP-Technikgeräte"
126,"Falsche Einstellung der Röntgenstrahlenintensität"
127,"Fehlende Kontrolle der Patientendaten vor Eingriff"
128,"Unzureichende Absprache über Antikoagulation des Patienten"
129,"Versehentliche Verschiebung von Instrumenten während der OP"
130,"Übersehen von Allergien gegen Kontrastmittel"
131,"Mangelnde Reinigung von OP-Tisch oder Armlehnen"
132,"Fehlerhafte Entsorgung von Einwegmaterialien"
133,"Unzureichende Vorbereitung auf seltene Komplikationen"
134,"Fehlerhafte Dokumentation von Katheterposition"
135,"Unterbrechung durch externe Wartungsarbeiten"
136,"Verwechslung von Spritzen oder Medikamentenampullen"
137,"Nichtbeachtung von Patientenangst oder Unruhe"
138,"Fehlerhafte Handhabung von Röntgenfiltern"
139,"Übersehen von Materialermüdung bei Instrumenten"
140,"Unzureichende Schulung bei neuen Kathetermodellen"
141,"Störungen durch defekte OP-Beleuchtung"
142,"Fehler bei der Kontrolle von Infusionspumpen"
143,"Mangelnde Kontrolle des OP-Bodens auf Rutschgefahr"
144,"Versehentliche Berührung steriler Felder"
145,"Fehlerhafte Kennzeichnung von Proben oder Blutproben"
146,"Überlastung des OP-Personals durch Personalmangel"
147,"Unzureichende Kontrolle von Vitalparametern während Eingriff"
148,"Fehlerhafte Dokumentation von Narkosemitteln"
149,"Nichtbeachtung von besonderen Lagerungsanforderungen"
150,"Verzögerungen durch technische Probleme am Kathetergerät"
